datasetname,avg_supp,wkl_supp,avg_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,wkl_sum,wkl_sum_norm,wacc_supp_sum,wacc_usg_sum,std_rules,top1_std,avg_items,runtime
edm,50.7778,25.4902,16.7778,13.8517,18.2655,nan,0.1888,9,124.6656,0.8095,164.3896,nan,0.3153,0.3432,1.8889,15.3118, 
enb,191.3158,141.6029,40.3684,143.0305,1119.4478,nan,0.1137,19,2717.5793,3.5385,21269.5079,nan,5.7061,5.9468,1.9474,2.4153, 
jura,43.75,55.6768,12.7857,30.5328,398.9071,nan,0.0435,28,854.9192,2.3814,11169.3992,nan,14.4015,1.1337,4.2857,15.7034, 
oes10,61.0741,1104.7686,14.8889,434.4666,468526.5158,nan,0.0564,27,11730.5977,29.1082,12650215.9264,nan,3162.2596,976.2371,3.7407,33360.0024, 
oes97,84.5789,1204.4695,17.4737,541.2676,781574.4699,nan,0.115,19,10284.0848,30.7907,14849914.9274,nan,3992.1037,11442.1532,3.5789,15334.0269, 
osales,100.2292,484.7636,13.2292,240.8777,2507278.5113,nan,0.0622,48,11562.1299,18.0941,120349368.5446,nan,27859.8874,181695.7897,3.3333,4593.1525, 
sf1,41.1,25.5488,16.0,14.7361,6.7661,nan,0.0328,20,294.7213,0.9124,135.322,nan,0.5073,0.7071,2.95,3.4079, 
sf2,149.2778,175.3269,59.0556,135.7677,36.4282,nan,0.0469,18,2443.8192,2.2925,655.7073,nan,0.9166,1.6354,3.7222,3.0404, 
slump,17.5882,23.8769,6.0,16.5843,260.5707,nan,0.0728,17,281.9335,2.7372,4429.702,nan,1.9847,0.9875,3.8235,2.4172, 
