datasetname,avg_supp,wkl_supp,avg_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,wkl_sum,wkl_sum_norm,wacc_supp_sum,wacc_usg_sum,std_rules,top1_std,avg_items,runtime
edm,19.75,53.1071,6.0,18.1232,17.289,nan,0.7804,4,72.4929,0.4707,69.1558,nan,0.3153,0.3432,5.0,4.6524, 
enb,384.0,1047.1642,384.0,1047.1642,6714.245,6714.245,0.0,2,2094.3284,2.727,13428.49,13428.49,5.7061,5.9468,1.7805,1.1831, 
jura,27.3333,109.7544,7.1667,28.2893,448.3867,nan,0.62,6,169.7357,0.4728,2690.3204,nan,14.4015,1.1337,4.8667,2.2875, 
oes10,12.0,2645.491,12.0,2645.491,964887.6541,964887.6541,0,1,2645.491,6.5645,964887.6541,964887.6541,3162.2596,976.2371,3.0,1652.676, 
oes97,11.0,2187.0938,11.0,2187.0938,1122501.7821,1122501.7821,0,1,2187.0938,6.5482,1122501.7821,1122501.7821,3992.1037,11442.1532,3.0,924.6545, 
osales,5.0,1388.3177,5.0,1388.3177,4014420.1878,4014420.1878,0,1,1388.3177,2.1726,4014420.1878,4014420.1878,27859.8874,181695.7897,4.0,120.0812, 
sf1,8.0,51.9759,8.0,51.9759,9.6718,9.6718,0,1,51.9759,0.1609,9.6718,9.6718,0.5073,0.7071,5.0,0.289, 
sf2,80.0,916.3865,80.0,916.3865,97.7824,97.7824,0,1,916.3865,0.8596,97.7824,97.7824,0.9166,1.6354,5.0,0.4693, 
slump,11.0,142.2656,11.0,142.2656,595.9879,595.9879,0,1,142.2656,1.3812,595.9879,595.9879,1.9847,0.9875,4.75,0.6733, 
