datasetname,avg_supp,wkl_supp,avg_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,wkl_sum,length_orig,length_final,length_ratio,runtime,nsamples_train, 
birds,58,137.3251,49.75,126.2697,0.1271,0.1083,0.0278,8,2.5,1010.1578,1.0172,0.8665,3426.8915,1418.5948,0.9069, 
CAL500,35,621.9399,35,621.9399,1.2063,1.2063,0,1,5,621.9399,1.2063,1.2063,41603.9309,1342.2527,0.9989, 
emotions,66.8824,132.0897,30.7647,93.5275,0.1686,0.0959,0.0504,17,2.9412,1589.9682,3137.6436,2380.8058,0.7588,565.8405,593, 
flags,30.4,38.7419,25,46.8932,0.1951,0.2012,0.049,5,2,234.4659,1154.761,1093.234,0.9467,10.2414,194, 
genbase,48.8667,311.4506,43.5333,256.6427,0.1754,0.1451,0.0222,15,1,3849.6409,4094.9569,1622.3806,0.3962,1811.5733,662, 
mediamill,898.2061,2459.1442,314.0076,991.0129,0.0526,0.0188,0.0071,131,4.9695,129822.6957,695328.6345,627800.867,0.9029,167130.6654,43907, 
scene,154.8776,285.7217,46.4898,150.0474,0.0745,0.0297,0.0329,49,3.898,7352.3216,9757.698,5678.4348,0.5819,6444.8759,2407, 
yeast,48.3429,185.5726,33.8571,152.1869,0.0537,0.0406,0.0113,35,4.7429,5326.5416,24183.1712,22044.8891,0.9116,3356.302,2417, 
